gpa,family_income,is_orphan,is_displaced,region,high_school_type,has_verification,gender,faculty,Status
73.5,64.42,1,0,Hirshabelle,Public,1,Male,Agri,1
59.5,102.37,0,1,Puntland,Private,1,Female,Medicine,1
56.5,346.29,0,0,Galmudug,Public,1,Female,Medicine,1
73.8,54.28,1,0,Somaliland,Private,1,Male,CS,1
61.3,363.46,1,0,Puntland,Private,1,Male,Medicine,1
83.5,284.86,0,1,Somaliland,Private,1,Female,Agri,1
71.9,67.47,1,0,Somaliland,Private,1,Female,CS,1
91.6,80.15,0,1,Jubaland,Public,1,Male,Medicine,1
85.0,320.49,0,0,Puntland,Private,1,Male,Agri,1
65.6,168.85,1,0,Somaliland,Public,1,Female,Medicine,1
91.6,148.73,0,1,Galmudug,Public,1,Male,Medicine,1
90.2,106.01,0,0,Somaliland,Private,1,Male,Medicine,1
69.4,152.99,1,0,Galmudug,Public,1,Female,CS,1
64.4,129.87,1,0,Banadir,Public,1,Male,CS,1
84.1,145.16,1,1,Banadir,Private,1,Female,CS,1
57.0,369.81,0,0,Koonfur Galbeed,Private,1,Female,CS,0
60.0,56.26,1,0,Jubaland,Private,1,Male,CS,1
50.4,443.65,0,0,Galmudug,Private,1,Male,Medicine,0
89.3,110.86,0,0,Hirshabelle,Private,1,Female,CS,1
83.2,109.74,0,0,Puntland,Public,1,Male,Agri,1
85.3,253.7,1,0,Koonfur Galbeed,Public,1,Female,CS,1
89.0,403.32,1,0,Somaliland,Public,1,Male,Medicine,1
72.9,197.1,1,0,Koonfur Galbeed,Public,1,Female,Agri,1
78.4,99.77,1,1,Somaliland,Private,1,Male,CS,1
57.0,69.66,0,1,Somaliland,Private,1,Male,Medicine,1
55.7,147.22,0,0,Galmudug,Private,1,Female,Agri,1
83.4,63.9,0,0,Puntland,Private,1,Male,Eng,1
73.6,392.9,0,0,Galmudug,Private,1,Male,CS,1
78.3,112.46,0,1,Koonfur Galbeed,Public,1,Female,Eng,1
88.2,282.65,1,0,Galmudug,Public,0,Female,Eng,1
81.7,344.59,1,0,Banadir,Public,1,Male,Medicine,1
77.7,204.48,1,0,Galmudug,Private,1,Female,CS,1
78.0,288.19,0,0,Banadir,Private,1,Male,CS,1
65.2,200.21,0,0,Banadir,Public,1,Male,Agri,1
51.5,126.52,0,0,Puntland,Public,1,Male,Medicine,1
71.8,276.75,0,1,Somaliland,Public,1,Female,CS,1
60.7,260.19,0,1,Banadir,Public,1,Female,Medicine,1
70.4,77.51,0,1,Banadir,Private,1,Male,Agri,1
92.7,305.29,0,1,Hirshabelle,Private,1,Female,CS,1
61.7,130.95,1,0,Jubaland,Private,1,Male,CS,1
52.9,532.84,0,1,Puntland,Public,1,Male,Medicine,1
64.1,382.82,0,1,Jubaland,Public,0,Male,Eng,0
64.7,180.02,0,1,Galmudug,Private,1,Female,Medicine,1
83.1,218.53,0,1,Hirshabelle,Public,1,Male,Agri,1
77.9,75.5,0,0,Somaliland,Public,1,Female,CS,1
89.2,171.38,0,0,Puntland,Public,1,Male,Medicine,1
83.2,155.24,0,0,Koonfur Galbeed,Public,1,Female,Medicine,1
70.3,132.83,0,0,Galmudug,Public,1,Male,Medicine,1
90.7,160.51,1,0,Koonfur Galbeed,Public,1,Male,Medicine,1
58.3,796.31,0,0,Somaliland,Public,1,Female,Eng,1
51.1,77.09,0,0,Banadir,Private,1,Female,Medicine,1
54.5,66.22,0,1,Somaliland,Private,1,Female,Eng,1
86.1,158.07,0,1,Somaliland,Private,1,Male,CS,1
73.1,122.13,0,0,Hirshabelle,Public,1,Female,Eng,1
58.1,236.66,1,0,Hirshabelle,Private,1,Male,Medicine,0
75.1,100.54,0,0,Banadir,Private,1,Female,Medicine,1
57.6,398.77,1,1,Galmudug,Public,1,Female,CS,1
84.8,345.61,0,1,Somaliland,Public,1,Female,Agri,1
72.3,87.38,0,1,Galmudug,Private,1,Female,Agri,1
69.1,74.25,0,0,Somaliland,Public,1,Male,Agri,1
65.1,253.82,0,0,Jubaland,Public,1,Male,Agri,1
81.5,56.08,0,1,Hirshabelle,Public,1,Female,CS,1
68.1,105.14,1,1,Somaliland,Public,1,Male,Medicine,1
54.4,411.61,1,0,Puntland,Public,1,Male,Medicine,1
55.9,74.62,1,0,Galmudug,Public,1,Female,Agri,1
98.1,205.05,0,0,Koonfur Galbeed,Private,1,Female,CS,1
95.4,162.2,1,0,Jubaland,Public,0,Female,CS,1
85.0,648.6,0,1,Koonfur Galbeed,Private,1,Female,Eng,1
63.3,132.12,1,1,Puntland,Public,1,Female,CS,1
98.5,355.23,1,0,Hirshabelle,Private,1,Male,Eng,1
88.9,474.67,1,0,Koonfur Galbeed,Private,1,Female,CS,1
85.8,79.41,1,0,Somaliland,Public,1,Female,Eng,1
72.5,166.95,1,0,Puntland,Public,1,Female,Agri,1
63.6,184.05,0,0,Galmudug,Private,1,Female,Eng,1
54.8,165.56,1,1,Koonfur Galbeed,Public,1,Male,CS,1
95.1,364.23,0,1,Banadir,Private,0,Female,CS,1
72.8,59.17,1,0,Galmudug,Public,1,Female,CS,1
60.1,98.51,1,1,Koonfur Galbeed,Public,1,Male,CS,1
65.3,88.05,0,1,Banadir,Public,1,Female,Eng,1
79.0,65.83,0,0,Jubaland,Private,1,Female,Medicine,1
58.8,96.65,0,1,Banadir,Public,1,Male,CS,1
92.8,118.51,0,1,Puntland,Private,1,Female,CS,1
87.9,120.55,0,1,Jubaland,Public,1,Male,Agri,1
86.0,55.61,1,0,Somaliland,Private,1,Male,CS,1
71.6,180.99,0,0,Banadir,Private,1,Female,Medicine,1
81.4,81.13,1,0,Hirshabelle,Private,1,Female,Medicine,1
79.2,145.18,0,0,Puntland,Public,1,Male,CS,1
82.5,167.55,0,0,Koonfur Galbeed,Private,1,Male,Agri,1
54.2,212.78,0,1,Puntland,Private,1,Female,CS,1
70.8,135.83,1,0,Jubaland,Public,1,Female,Eng,1
52.1,65.52,0,0,Hirshabelle,Public,1,Male,Eng,1
74.7,52.13,0,1,Jubaland,Private,1,Male,Agri,1
66.5,139.78,0,0,Somaliland,Public,0,Male,Eng,0
57.2,335.54,1,0,Hirshabelle,Private,1,Male,Eng,1
55.2,679.96,0,0,Banadir,Public,1,Male,Medicine,1
79.4,286.25,1,0,Hirshabelle,Public,1,Male,Medicine,1
58.5,129.73,1,0,Galmudug,Private,1,Female,Eng,1
96.3,531.5,1,1,Hirshabelle,Private,1,Female,Eng,1
79.1,481.54,0,0,Somaliland,Public,1,Male,Medicine,1
67.3,311.53,0,0,Somaliland,Private,1,Female,CS,1
79.5,494.06,0,0,Galmudug,Public,1,Female,CS,1
51.1,297.37,0,1,Galmudug,Public,1,Male,Medicine,1
97.9,184.07,1,0,Koonfur Galbeed,Private,1,Female,CS,1
74.1,328.87,0,1,Koonfur Galbeed,Private,1,Male,Medicine,1
89.1,229.01,0,0,Banadir,Public,1,Female,CS,1
54.1,462.79,0,0,Puntland,Private,1,Female,Eng,1
74.3,94.24,0,0,Koonfur Galbeed,Public,1,Female,Eng,1
74.5,77.01,0,0,Somaliland,Private,0,Male,Eng,1
96.9,159.68,1,0,Galmudug,Private,1,Female,Eng,1
78.6,71.72,0,1,Banadir,Private,1,Male,CS,1
73.7,162.29,1,0,Banadir,Public,1,Male,CS,1
63.3,254.2,1,0,Somaliland,Public,1,Female,Eng,1
66.6,393.09,0,0,Hirshabelle,Public,1,Male,Agri,1
76.0,679.9,0,0,Hirshabelle,Private,1,Male,Eng,1
71.9,118.25,0,0,Koonfur Galbeed,Private,1,Female,Eng,1
51.1,136.75,0,0,Puntland,Private,1,Female,Eng,1
91.3,128.78,0,0,Puntland,Public,1,Male,Eng,1
94.8,58.4,1,0,Jubaland,Private,1,Male,Eng,1
57.0,81.19,1,0,Jubaland,Private,1,Male,Eng,1
77.7,69.15,0,0,Banadir,Public,1,Female,CS,1
55.4,198.21,0,0,Jubaland,Public,1,Male,CS,1
83.6,150.84,0,0,Koonfur Galbeed,Public,1,Female,Medicine,1
64.1,555.55,1,1,Puntland,Public,1,Male,Medicine,1
83.0,55.1,0,0,Hirshabelle,Private,1,Male,Eng,1
86.3,107.34,1,1,Jubaland,Private,1,Male,Medicine,1
88.4,140.93,1,0,Jubaland,Public,1,Female,CS,1
55.4,213.89,0,0,Galmudug,Private,1,Male,Eng,1
95.8,97.21,0,0,Galmudug,Public,1,Female,CS,1
61.5,117.4,0,0,Galmudug,Private,1,Male,Agri,1
51.9,97.97,1,1,Banadir,Private,1,Female,CS,1
77.7,257.15,0,1,Somaliland,Private,1,Male,Medicine,1
68.5,97.37,1,0,Hirshabelle,Private,1,Male,Medicine,1
91.5,273.64,1,1,Banadir,Private,0,Male,CS,1
90.4,274.72,1,0,Hirshabelle,Private,1,Male,CS,1
65.9,186.84,0,0,Jubaland,Public,1,Male,CS,1
97.6,115.75,0,1,Banadir,Private,1,Female,Medicine,1
64.5,71.11,1,0,Banadir,Private,1,Female,Medicine,1
75.8,151.83,0,0,Koonfur Galbeed,Private,1,Male,Eng,1
62.8,252.12,1,1,Banadir,Public,1,Male,CS,1
96.8,1763.26,0,1,Banadir,Public,0,Male,Medicine,0
58.2,117.16,0,1,Banadir,Private,1,Female,CS,1
52.2,75.82,1,0,Galmudug,Private,0,Male,Agri,0
71.8,66.35,0,1,Koonfur Galbeed,Private,1,Male,Eng,1
99.6,449.22,0,0,Puntland,Private,1,Female,Agri,1
94.6,173.56,0,0,Hirshabelle,Private,1,Male,Agri,1
87.4,113.55,0,0,Hirshabelle,Private,1,Male,Medicine,1
94.5,155.52,1,1,Puntland,Private,1,Male,Eng,1
94.7,123.2,0,1,Banadir,Public,1,Male,Medicine,1
75.9,149.66,0,1,Jubaland,Private,1,Male,Agri,1
65.8,225.39,0,0,Banadir,Public,1,Female,Medicine,1
88.6,95.91,1,0,Banadir,Private,1,Female,Medicine,1
83.1,292.76,0,0,Jubaland,Private,1,Male,Agri,1
68.7,334.22,1,1,Hirshabelle,Private,1,Female,Agri,1
54.7,76.05,1,0,Koonfur Galbeed,Private,0,Male,Agri,1
87.3,78.38,0,0,Galmudug,Public,1,Male,CS,1
63.1,151.94,1,1,Puntland,Private,1,Male,CS,1
96.8,294.76,1,0,Somaliland,Private,1,Female,Medicine,1
62.0,130.73,0,1,Galmudug,Private,1,Male,Medicine,1
56.1,974.8,0,0,Puntland,Public,1,Female,Medicine,0
91.6,346.16,1,1,Jubaland,Private,1,Female,CS,1
57.7,59.73,1,0,Hirshabelle,Public,1,Male,Eng,1
59.0,207.73,1,0,Hirshabelle,Public,1,Male,CS,1
80.0,288.61,1,0,Banadir,Private,1,Male,Eng,1
93.7,74.55,0,0,Somaliland,Private,1,Female,Agri,1
59.8,390.01,1,0,Puntland,Private,1,Male,Eng,1
65.5,94.23,1,0,Jubaland,Private,1,Male,Medicine,0
88.9,91.98,0,0,Puntland,Private,1,Female,CS,1
98.6,219.33,0,1,Koonfur Galbeed,Public,1,Male,CS,1
75.0,61.92,0,0,Koonfur Galbeed,Public,1,Male,Eng,1
57.2,237.92,1,1,Somaliland,Public,1,Male,Medicine,1
50.7,100.45,0,1,Somaliland,Private,1,Male,CS,1
61.5,93.03,1,0,Jubaland,Private,1,Female,Agri,1
56.6,266.79,0,1,Banadir,Private,1,Female,Eng,1
83.9,173.1,0,0,Koonfur Galbeed,Private,1,Male,Agri,1
56.1,278.19,1,0,Hirshabelle,Private,1,Male,Medicine,1
75.3,191.07,0,0,Somaliland,Public,1,Male,Agri,1
84.7,435.64,1,1,Jubaland,Public,1,Female,CS,1
79.1,336.57,0,0,Somaliland,Public,1,Female,CS,1
60.0,138.42,1,0,Puntland,Public,1,Female,Agri,1
90.2,238.27,0,1,Somaliland,Public,1,Male,Agri,1
85.8,72.04,1,0,Banadir,Private,1,Male,Medicine,1
86.9,266.85,1,1,Hirshabelle,Private,1,Female,CS,1
56.6,70.96,0,1,Galmudug,Public,1,Male,Medicine,1
56.2,53.28,0,1,Koonfur Galbeed,Private,1,Male,Eng,1
96.4,142.74,0,1,Banadir,Private,1,Female,Agri,1
69.9,128.38,0,1,Galmudug,Public,0,Male,Medicine,0
65.0,254.55,1,0,Jubaland,Public,1,Male,CS,1
74.4,65.35,0,1,Galmudug,Private,1,Female,Eng,1
83.1,462.46,0,1,Koonfur Galbeed,Private,1,Male,Eng,1
97.8,379.99,0,1,Somaliland,Public,1,Male,Medicine,1
64.3,549.06,0,0,Banadir,Public,0,Female,Eng,0
96.2,68.01,1,1,Banadir,Public,1,Male,Agri,1
51.2,127.23,0,0,Jubaland,Public,1,Female,CS,1
77.8,83.76,1,0,Puntland,Public,1,Male,Eng,1
81.7,94.18,1,0,Banadir,Private,1,Female,Eng,1
55.3,154.93,0,0,Puntland,Private,1,Male,Medicine,1
57.0,105.16,0,1,Puntland,Private,1,Female,Agri,1
71.0,94.93,0,0,Banadir,Private,1,Female,Eng,1
98.3,130.03,0,1,Jubaland,Public,1,Female,Medicine,1
79.8,187.4,0,1,Galmudug,Public,1,Male,CS,1
96.7,83.3,1,0,Somaliland,Public,1,Male,Eng,1
90.2,122.98,1,1,Banadir,Private,1,Female,CS,1
73.4,163.23,0,0,Galmudug,Public,1,Female,CS,1
89.2,421.91,1,1,Banadir,Private,1,Male,Medicine,1
50.9,188.19,0,1,Hirshabelle,Public,0,Male,Eng,1
55.5,547.96,1,0,Somaliland,Private,1,Male,Agri,1
91.5,588.15,0,1,Somaliland,Private,1,Female,Eng,1
89.8,88.96,1,0,Puntland,Private,1,Male,Agri,1
61.6,67.46,1,0,Puntland,Public,1,Female,Medicine,1
76.5,580.6,1,1,Puntland,Private,1,Female,Medicine,1
80.3,486.38,1,0,Jubaland,Private,1,Female,Agri,1
93.4,796.72,0,1,Puntland,Public,1,Female,Medicine,1
80.2,307.0,1,0,Galmudug,Public,0,Male,Agri,1
70.6,69.15,0,0,Puntland,Public,1,Female,Medicine,1
68.7,220.43,1,1,Jubaland,Public,0,Male,CS,1
71.3,185.52,0,0,Jubaland,Private,1,Male,Eng,1
82.6,364.83,0,0,Galmudug,Public,1,Male,CS,1
93.4,88.8,0,0,Hirshabelle,Private,1,Male,CS,1
72.7,84.26,0,1,Jubaland,Private,1,Female,CS,1
62.4,203.0,1,0,Hirshabelle,Private,1,Female,CS,1
61.8,73.59,1,0,Puntland,Private,1,Male,Medicine,1
87.3,75.7,1,0,Hirshabelle,Private,1,Male,Agri,1
90.8,466.68,0,0,Somaliland,Private,1,Female,Medicine,1
55.3,542.13,1,1,Galmudug,Private,1,Female,Agri,1
53.3,421.87,0,0,Jubaland,Public,0,Female,Eng,0
79.7,285.62,0,0,Koonfur Galbeed,Private,1,Male,CS,1
57.3,120.8,1,1,Puntland,Public,1,Female,CS,1
91.2,122.59,0,0,Jubaland,Private,1,Male,Agri,1
65.5,387.08,0,0,Puntland,Public,1,Male,Eng,1
57.2,680.13,0,0,Galmudug,Public,1,Male,Agri,1
96.0,50.9,0,0,Banadir,Private,1,Female,Medicine,1
58.3,920.71,1,1,Somaliland,Private,1,Male,Eng,1
64.2,88.23,0,1,Banadir,Public,1,Female,Eng,0
57.7,367.65,0,1,Somaliland,Private,1,Female,Agri,1
55.8,93.38,0,1,Jubaland,Public,1,Male,CS,1
51.1,131.55,0,0,Somaliland,Public,1,Female,Agri,1
52.8,235.64,1,0,Somaliland,Private,1,Female,Medicine,1
58.7,100.09,1,1,Puntland,Public,1,Female,Agri,1
52.7,487.85,1,1,Hirshabelle,Public,1,Male,Medicine,1
79.6,77.78,1,1,Hirshabelle,Private,1,Female,Eng,1
84.0,62.53,0,0,Jubaland,Private,0,Female,Medicine,1
69.7,626.79,1,1,Banadir,Private,0,Male,Agri,0
65.9,346.93,0,1,Banadir,Private,1,Female,CS,1
75.2,134.82,0,1,Galmudug,Public,1,Male,Medicine,1
93.8,165.25,1,1,Koonfur Galbeed,Private,1,Female,Eng,1
92.6,246.16,0,0,Koonfur Galbeed,Public,1,Male,Eng,1
52.2,339.69,1,0,Somaliland,Private,1,Male,Medicine,1
59.1,135.41,1,0,Jubaland,Public,1,Female,Eng,1
61.8,233.79,1,0,Puntland,Public,1,Male,Medicine,1
62.5,106.9,0,1,Banadir,Public,1,Male,Eng,1
78.6,56.07,0,0,Hirshabelle,Private,1,Female,Eng,1
70.8,376.09,1,0,Somaliland,Private,1,Female,Eng,1
52.5,69.78,0,0,Jubaland,Public,1,Female,Agri,1
68.7,53.73,0,1,Somaliland,Private,1,Female,Medicine,1
76.2,443.58,1,0,Somaliland,Private,1,Male,CS,1
55.1,465.16,1,0,Koonfur Galbeed,Private,1,Female,Eng,1
91.7,157.32,1,1,Hirshabelle,Private,1,Female,CS,1
52.6,196.1,0,0,Galmudug,Public,1,Female,CS,0
96.2,130.3,0,0,Somaliland,Public,1,Female,Eng,1
55.0,145.66,0,0,Hirshabelle,Public,1,Female,Medicine,1
92.2,99.86,0,0,Somaliland,Private,1,Female,Medicine,1
95.1,94.16,0,1,Jubaland,Public,1,Female,Agri,1
99.0,124.55,0,1,Puntland,Public,1,Male,CS,1
90.1,372.73,0,0,Galmudug,Private,1,Female,CS,1
89.0,626.94,0,1,Banadir,Public,1,Male,CS,1
82.1,340.28,0,1,Hirshabelle,Private,1,Male,CS,1
88.9,271.15,0,0,Galmudug,Public,1,Female,Eng,1
56.7,167.37,0,0,Banadir,Public,1,Female,Eng,1
76.8,110.88,1,0,Jubaland,Private,1,Male,Eng,1
75.7,230.74,0,1,Puntland,Private,1,Male,CS,1
92.9,62.15,1,0,Jubaland,Private,1,Female,Medicine,1
73.1,745.13,0,0,Banadir,Public,1,Female,CS,1
69.3,272.15,0,1,Hirshabelle,Private,1,Female,Eng,1
82.0,428.82,0,1,Jubaland,Public,1,Female,Eng,1
63.3,52.35,0,1,Somaliland,Private,1,Male,CS,1
57.0,68.95,0,1,Koonfur Galbeed,Private,1,Male,Agri,1
73.9,306.26,1,0,Galmudug,Public,1,Male,Eng,1
70.8,54.92,1,1,Galmudug,Public,1,Female,Medicine,1
61.6,188.12,0,0,Puntland,Private,1,Female,Eng,1
68.4,95.81,0,0,Jubaland,Private,1,Male,Eng,1
68.3,117.51,1,1,Galmudug,Private,1,Female,CS,1
66.4,274.63,0,0,Koonfur Galbeed,Public,1,Female,CS,1
69.0,99.13,0,0,Galmudug,Public,1,Female,Eng,1
84.3,118.04,1,1,Puntland,Private,1,Female,Agri,1
64.8,223.26,0,0,Galmudug,Private,1,Male,Eng,1
97.4,81.49,1,0,Banadir,Public,1,Female,Eng,1
95.8,269.56,0,1,Somaliland,Public,0,Male,Eng,1
74.0,389.27,0,1,Koonfur Galbeed,Public,1,Female,Medicine,1
66.4,480.54,0,1,Hirshabelle,Public,1,Female,CS,1
76.8,185.46,1,0,Koonfur Galbeed,Public,1,Male,Medicine,1
92.4,95.31,0,0,Somaliland,Private,1,Female,Agri,1
82.6,82.94,1,1,Galmudug,Private,1,Male,Agri,1
90.2,82.4,1,0,Galmudug,Private,1,Male,Agri,1
76.6,56.18,1,0,Puntland,Private,1,Female,CS,1
81.6,292.7,0,0,Koonfur Galbeed,Public,1,Male,Medicine,1
64.4,170.49,0,0,Koonfur Galbeed,Private,1,Male,Eng,1
86.7,443.94,0,0,Banadir,Private,1,Male,CS,1
60.1,72.96,0,1,Hirshabelle,Public,1,Male,CS,1
84.7,598.11,1,1,Jubaland,Public,1,Female,Eng,0
93.0,153.48,0,0,Galmudug,Public,1,Male,Eng,1
56.6,71.09,1,1,Jubaland,Public,1,Male,Eng,1
80.7,53.37,0,0,Puntland,Public,1,Male,CS,1
54.8,89.75,0,0,Banadir,Private,1,Female,Medicine,1
86.3,391.55,0,1,Jubaland,Private,1,Female,CS,1
54.2,89.68,1,0,Hirshabelle,Private,1,Male,CS,1
96.8,270.99,0,1,Hirshabelle,Public,1,Male,Medicine,1
56.9,64.57,0,0,Puntland,Private,0,Female,Medicine,0
97.9,154.96,1,0,Koonfur Galbeed,Public,1,Male,Agri,1
90.0,226.61,0,0,Somaliland,Public,1,Female,Medicine,1
79.7,364.77,0,0,Jubaland,Private,1,Female,CS,1
89.1,243.86,0,1,Somaliland,Private,1,Male,CS,1
89.8,58.32,0,1,Jubaland,Private,0,Female,Eng,1
97.3,320.97,0,0,Jubaland,Public,1,Male,CS,1
62.7,50.98,0,0,Galmudug,Public,1,Male,CS,1
79.5,85.72,1,1,Jubaland,Public,1,Female,Medicine,1
54.8,482.46,0,1,Jubaland,Public,1,Female,CS,1
80.8,275.07,0,0,Galmudug,Public,1,Female,Eng,1
58.6,260.69,0,0,Somaliland,Public,1,Male,Medicine,1
78.2,175.44,0,0,Jubaland,Public,1,Male,CS,1
78.6,268.18,0,0,Banadir,Private,1,Female,Eng,1
73.3,86.08,0,0,Koonfur Galbeed,Public,1,Female,Medicine,1
76.1,188.66,0,0,Banadir,Public,1,Male,Eng,1
88.2,129.92,0,0,Koonfur Galbeed,Private,0,Female,CS,0
90.0,121.06,1,0,Hirshabelle,Private,0,Male,Eng,1
74.6,242.06,1,0,Koonfur Galbeed,Private,1,Male,CS,1
80.0,102.08,0,1,Banadir,Public,1,Male,Medicine,1
96.6,222.53,0,0,Puntland,Public,1,Female,CS,1
56.0,144.27,0,0,Banadir,Private,1,Female,Agri,1
55.9,939.51,1,0,Somaliland,Private,1,Male,CS,0
54.4,98.05,0,0,Koonfur Galbeed,Private,1,Male,Agri,1
82.9,63.17,0,1,Hirshabelle,Private,1,Male,Agri,1
70.9,448.88,0,0,Galmudug,Public,1,Male,Medicine,1
88.7,664.62,0,0,Hirshabelle,Private,1,Male,Medicine,1
83.6,252.46,0,1,Banadir,Public,1,Female,Medicine,1
66.7,58.34,1,1,Hirshabelle,Private,1,Male,Agri,1
94.9,53.3,1,1,Somaliland,Public,1,Male,Eng,1
88.1,69.47,0,0,Galmudug,Private,1,Female,Medicine,1
63.5,431.09,0,0,Hirshabelle,Private,0,Female,CS,0
68.2,684.16,0,1,Galmudug,Private,1,Male,Agri,1
65.7,77.63,0,0,Somaliland,Private,1,Male,CS,1
57.9,81.48,0,1,Galmudug,Public,1,Female,CS,1
57.4,89.11,0,1,Jubaland,Private,1,Male,CS,1
96.8,400.31,1,0,Galmudug,Public,1,Female,Medicine,1
71.9,226.32,1,0,Jubaland,Public,0,Male,Agri,1
69.2,217.12,1,0,Somaliland,Private,1,Female,Eng,1
86.5,51.72,1,0,Puntland,Public,1,Male,CS,1
77.6,159.78,0,1,Somaliland,Public,1,Female,Medicine,1
96.8,170.74,0,1,Hirshabelle,Private,0,Male,Eng,1
89.0,98.81,0,0,Koonfur Galbeed,Private,1,Male,Medicine,1
74.0,58.29,0,1,Banadir,Private,1,Female,CS,1
68.8,240.63,0,0,Puntland,Private,1,Female,Medicine,1
99.3,234.76,1,1,Jubaland,Private,1,Female,Eng,1
85.9,115.16,0,0,Galmudug,Public,1,Female,Agri,1
97.6,369.72,0,1,Puntland,Private,1,Male,Eng,1
55.9,345.44,0,1,Somaliland,Public,1,Male,CS,1
92.5,286.86,1,0,Banadir,Private,1,Male,Eng,1
81.9,164.15,0,0,Banadir,Public,1,Female,CS,1
56.1,920.22,0,1,Puntland,Private,1,Female,Agri,1
79.4,103.14,0,0,Hirshabelle,Private,1,Female,Medicine,1
84.3,166.56,1,1,Koonfur Galbeed,Private,1,Male,CS,1
50.6,401.69,1,1,Jubaland,Private,1,Female,Medicine,0
72.7,307.33,0,1,Puntland,Private,1,Female,CS,1
91.3,174.66,1,0,Koonfur Galbeed,Private,1,Female,CS,1
64.8,216.81,0,1,Puntland,Private,1,Female,Eng,1
72.9,350.51,1,1,Puntland,Public,1,Female,Eng,1
72.1,161.66,0,0,Banadir,Private,0,Male,Agri,0
65.1,72.27,0,0,Somaliland,Public,1,Male,Medicine,1
95.9,95.02,1,0,Hirshabelle,Public,1,Female,CS,1
89.1,193.65,0,1,Somaliland,Private,1,Female,Medicine,1
55.5,59.56,0,0,Jubaland,Private,1,Female,Medicine,1
99.9,243.39,1,0,Somaliland,Private,1,Female,CS,1
94.0,65.34,1,0,Koonfur Galbeed,Private,1,Female,Agri,1
64.2,125.26,0,1,Galmudug,Private,0,Female,Agri,1
91.8,236.16,1,0,Galmudug,Public,1,Female,CS,1
55.3,84.76,1,1,Jubaland,Private,1,Male,Eng,1
100.0,181.25,0,1,Jubaland,Private,1,Male,Eng,1
83.3,1055.45,1,1,Koonfur Galbeed,Private,1,Male,CS,1
82.5,62.39,0,1,Galmudug,Public,1,Female,Eng,1
54.5,226.77,1,0,Hirshabelle,Private,1,Male,CS,1
94.9,244.21,0,1,Banadir,Public,0,Male,CS,0
51.4,248.22,0,0,Koonfur Galbeed,Public,1,Male,Agri,1
62.0,587.93,0,1,Koonfur Galbeed,Public,1,Male,Eng,1
57.2,277.52,0,0,Galmudug,Private,1,Male,CS,1
88.8,647.87,1,1,Koonfur Galbeed,Private,1,Female,Medicine,1
59.9,176.21,1,1,Jubaland,Public,1,Male,Agri,1
95.5,181.29,0,0,Puntland,Private,1,Male,Medicine,1
82.8,708.97,0,1,Galmudug,Private,1,Male,Agri,1
51.8,220.11,0,0,Galmudug,Private,1,Female,Agri,1
50.3,110.89,0,0,Puntland,Private,1,Female,Medicine,0
52.6,316.42,0,0,Puntland,Public,1,Female,Eng,1
80.3,233.92,1,0,Somaliland,Public,1,Male,Eng,1
90.1,286.03,1,0,Jubaland,Private,0,Female,Eng,1
61.9,219.6,0,1,Puntland,Public,0,Male,Medicine,0
